"id","name","icon_url","display_ow1_order","display_ow2_order"
"1","Anniversary","https://foxyjr.cloudns.ph/overwatch_skins/image/category/anniversary.webp","6",NULL
"2","Archives","https://foxyjr.cloudns.ph/overwatch_skins/image/category/archives.webp","5",NULL
"3","Battle Pass","https://foxyjr.cloudns.ph/overwatch_skins/image/category/battle%20pass.webp",NULL,"1"
"4","Blizzard Special","https://foxyjr.cloudns.ph/overwatch_skins/image/category/blizzard.webp","9","7"
"5","Challenge","https://foxyjr.cloudns.ph/overwatch_skins/image/category/challenge.webp","8","5"
"6","Halloween Terror","https://foxyjr.cloudns.ph/overwatch_skins/image/category/halloween%20terror.webp","2",NULL
"7","Lunar New Year","https://foxyjr.cloudns.ph/overwatch_skins/image/category/lunar%20new%20year.webp","4",NULL
"8","Mythic Shop","https://foxyjr.cloudns.ph/overwatch_skins/image/category/mythic%20shop.webp",NULL,"2"
"9","Overwatch Esports","https://foxyjr.cloudns.ph/overwatch_skins/image/category/overwatch%20esports.webp",NULL,"10"
"10","Overwatch League","https://foxyjr.cloudns.ph/overwatch_skins/image/category/overwatch%20league.webp","10","9"
"11","Permanent","https://foxyjr.cloudns.ph/overwatch_skins/image/category/permanent.webp","7",NULL
"12","Shop","https://foxyjr.cloudns.ph/overwatch_skins/image/category/shop.webp",NULL,"3"
"13","Summer Games","https://foxyjr.cloudns.ph/overwatch_skins/image/category/summer%20games.webp","1",NULL
"14","Winter Wonderland","https://foxyjr.cloudns.ph/overwatch_skins/image/category/winter%20wonderland.webp","3",NULL
"15","Collaboration","https://foxyjr.cloudns.ph/overwatch_skins/image/category/collaboration%20shop.webp",NULL,"4"
"16","Base","https://foxyjr.cloudns.ph/overwatch_skins/image/category/base.webp",NULL,NULL
"17","Competitive","https://foxyjr.cloudns.ph/overwatch_skins/image/category/competitive.webp",NULL,"8"
"18","Bundle Special","https://foxyjr.cloudns.ph/overwatch_skins/image/category/bundle.webp",NULL,"6"
"id","name"
"1","Pre-Order"
"2","Origins Edition"
"3","BlizzCon"
"4","Charity"
"5","Twich Drop"
"6","Discord"
"7","Login"
"8","Story Mission"
"9","Starter Pack"
"10","Ultimate Bundle"
"11","Twitch Subscription"
"12","Watchpoint Pack"
"13","Founder's Pack"
"id","name","role","release_date","portrait_url"
"1","Ana","support","2016-07-19","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Ana.webp"
"2","Ashe","damage","2018-11-13","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Ashe.webp"
"3","Baptiste","support","2019-03-19","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Baptiste.webp"
"4","Bastion","damage","2016-05-24","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Bastion.webp"
"5","Brigitte","support","2018-03-20","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Brigitte.webp"
"6","Cassidy","damage","2016-05-24","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Cassidy.webp"
"7","D.Va","tank","2016-05-24","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-D.Va.webp"
"8","Doomfist","tank","2017-07-27","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Doomfist.webp"
"9","Echo","damage","2020-04-14","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Echo.webp"
"10","Freja","damage","2025-04-25","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Freja.webp"
"11","Genji","damage","2016-05-24","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Genji.webp"
"12","Hanzo","damage","2016-05-24","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Hanzo.webp"
"13","Hazard","tank","2024-12-10","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Hazard.webp"
"14","Illari","support","2023-08-10","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Illari.webp"
"15","Junker Queen","tank","2022-10-04","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Junker_Queen.webp"
"16","Junkrat","damage","2016-05-24","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Junkrat.webp"
"17","Juno","support","2024-08-20","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Juno.webp"
"18","Lifeweaver","support","2023-04-11","https://foxyjr.cloudns.ph/overwatch_skins/image/hero_portrait/Icon-Lifeweaver.webp"
