"SEP=,"
"Hero ","Total ","Seasons ","Average ","Last Season ","Recolors ","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
"Jetpack Cat",4,4/4,1,24,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,24,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,22,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
"Junker Queen",17,14/24,0.71,24,1,5,5/24,0.21,14,0,1,1/24,0.04,2,0,10,8/24,0.42,23,1,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,24,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Junkrat,15,13/24,0.63,23,2,5,5/24,0.21,23,0,1,1/24,0.04,19,0,4,4/24,0.17,23,1,1,1/24,0.04,7,0,2,2/24,0.08,22,1,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,23,0,0,0/24,0,0,0,1,1/24,0.04,13,0
Juno,21,12/13,1.62,24,1,0,0/13,0,0,0,1,1/13,0.08,16,0,12,9/13,0.92,24,0,5,5/13,0.38,23,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,1,1/13,0.08,16,0,0,0/13,0,0,0,2,2/13,0.15,19,1
Kiriko,41,23/24,1.71,24,5,4,4/24,0.17,18,0,1,1/24,0.04,3,0,23,20/24,0.96,24,4,9,8/24,0.38,23,1,0,0/24,0,0,0,4,4/24,0.17,19,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Lifeweaver,30,17/21,1.43,23,4,6,6/21,0.29,22,0,1,1/21,0.05,19,0,14,11/21,0.67,23,2,3,3/21,0.14,22,0,2,2/21,0.1,18,1,1,1/21,0.05,9,0,2,2/21,0.1,22,1,0,0/21,0,0,0,0,0/21,0,0,0,1,1/21,0.05,21,0
Lúcio,23,18/24,0.96,24,7,8,8/24,0.33,23,0,0,0/24,0,0,0,9,9/24,0.38,24,5,1,1/24,0.04,21,0,2,2/24,0.08,22,1,2,2/24,0.08,11,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,20,1
Mauga,13,10/17,0.76,23,0,4,4/17,0.24,21,0,1,1/17,0.06,23,0,5,5/17,0.29,22,0,2,2/17,0.12,22,0,0,0/17,0,0,0,1,1/17,0.06,8,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0
Mei,23,18/24,0.96,24,5,5,5/24,0.21,15,0,1,1/24,0.04,21,0,10,10/24,0.42,24,4,1,1/24,0.04,14,0,1,1/24,0.04,22,0,0,0/24,0,0,0,2,2/24,0.08,23,0,1,1/24,0.04,18,0,0,0/24,0,0,0,2,2/24,0.08,23,1
Mercy,47,22/24,1.96,24,15,2,2/24,0.08,4,0,2,2/24,0.08,21,0,25,16/24,1.04,24,8,5,4/24,0.21,21,0,2,2/24,0.08,22,0,2,2/24,0.08,14,0,1,1/24,0.04,11,1,1,1/24,0.04,17,0,1,1/24,0.04,1,1,6,6/24,0.25,23,5
