"SEP=,"
"Hero ","Total ","Seasons ","Average ","Last Season ","Recolors ","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
Kiriko,4,4/24,0.17,14,0,1,1/24,0.04,5,0,0,0/24,0,0,0,2,2/24,0.08,9,0,1,1/24,0.04,14,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Lifeweaver,6,5/21,0.29,14,0,2,2/21,0.1,14,0,0,0/21,0,0,0,3,3/21,0.14,13,0,0,0/21,0,0,0,1,1/21,0.05,4,0,0,0/21,0,0,0,0,0/21,0,0,0,0,0/21,0,0,0,0,0/21,0,0,0,0,0/21,0,0,0
Lúcio,9,7/24,0.38,22,1,4,4/24,0.17,21,0,0,0/24,0,0,0,2,2/24,0.08,12,1,0,0/24,0,0,0,1,1/24,0.04,22,0,2,2/24,0.08,11,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Mauga,1,1/17,0.06,8,0,0,0/17,0,0,0,0,0/17,0,0,0,1,1/17,0.06,8,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0
Mei,9,9/24,0.38,22,0,3,3/24,0.13,15,0,0,0/24,0,0,0,3,3/24,0.13,8,0,1,1/24,0.04,14,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,18,0,0,0/24,0,0,0,0,0/24,0,0,0
Mercy,5,5/24,0.21,22,0,1,1/24,0.04,4,0,0,0/24,0,0,0,2,2/24,0.08,7,0,0,0/24,0,0,0,1,1/24,0.04,22,0,1,1/24,0.04,3,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Mizuki,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Moira,5,4/24,0.21,18,0,1,1/24,0.04,16,0,0,0/24,0,0,0,1,1/24,0.04,6,0,0,0/24,0,0,0,0,0/24,0,0,0,2,2/24,0.08,18,0,0,0/24,0,0,0,1,1/24,0.04,16,0,0,0/24,0,0,0,0,0/24,0,0,0
Orisa,4,4/24,0.17,21,0,1,1/24,0.04,17,0,0,0/24,0,0,0,2,2/24,0.08,21,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,16,0,0,0/24,0,0,0,0,0/24,0,0,0
Pharah,3,3/24,0.13,22,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,3,0,0,0/24,0,0,0,1,1/24,0.04,22,0,1,1/24,0.04,5,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Ramattra,3,3/23,0.13,5,0,1,1/23,0.04,2,0,0,0/23,0,0,0,2,2/23,0.09,5,0,0,0/23,0,0,0,0,0/23,0,0,0,0,0/23,0,0,0,0,0/23,0,0,0,0,0/23,0,0,0,0,0/23,0,0,0,0,0/23,0,0,0
Reaper,6,5/24,0.25,22,0,1,1/24,0.04,13,0,0,0/24,0,0,0,2,2/24,0.08,6,0,0,0/24,0,0,0,1,1/24,0.04,22,0,1,1/24,0.04,14,0,1,1/24,0.04,13,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Reinhardt,4,4/24,0.17,22,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,12,0,0,0/24,0,0,0,1,1/24,0.04,22,0,1,1/24,0.04,20,0,0,0/24,0,0,0,1,1/24,0.04,18,0,0,0/24,0,0,0,0,0/24,0,0,0
Roadhog,3,3/24,0.13,22,0,2,2/24,0.08,13,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Shion,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0
Sierra,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0
Sigma,4,4/24,0.17,21,0,1,1/24,0.04,3,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,16,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,7,0,1,1/24,0.04,21,0,0,0/24,0,0,0,0,0/24,0,0,0
Sojourn,5,5/24,0.21,24,0,1,1/24,0.04,24,0,0,0/24,0,0,0,4,4/24,0.17,10,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
"Soldier 76",5,5/24,0.21,22,0,2,2/24,0.08,18,0,0,0/24,0,0,0,1,1/24,0.04,3,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,16,0,0,0/24,0,0,0,0,0/24,0,0,0
Sombra,4,4/24,0.17,13,0,2,2/24,0.08,10,0,0,0/24,0,0,0,2,2/24,0.08,13,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Symmetra,7,6/24,0.29,22,0,4,4/24,0.17,22,0,0,0/24,0,0,0,1,1/24,0.04,5,0,0,0/24,0,0,0,2,2/24,0.08,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Torbjörn,6,5/24,0.25,22,0,4,4/24,0.17,22,0,0,0/24,0,0,0,1,1/24,0.04,5,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Tracer,7,7/24,0.29,22,0,4,4/24,0.17,22,0,0,0/24,0,0,0,2,2/24,0.08,4,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,21,0,0,0/24,0,0,0,0,0/24,0,0,0
Vendetta,1,1/5,0.2,24,0,0,0/5,0,0,0,0,0/5,0,0,0,1,1/5,0.2,24,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0
Venture,3,3/15,0.2,19,0,1,1/15,0.07,16,0,0,0/15,0,0,0,1,1/15,0.07,10,0,0,0/15,0,0,0,0,0/15,0,0,0,1,1/15,0.07,19,0,0,0/15,0,0,0,0,0/15,0,0,0,0,0/15,0,0,0,0,0/15,0,0,0
Widowmaker,3,3/24,0.13,22,0,1,1/24,0.04,9,0,0,0/24,0,0,0,1,1/24,0.04,4,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Winston,6,6/24,0.25,24,0,3,3/24,0.13,24,0,0,0/24,0,0,0,2,2/24,0.08,8,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
"Wrecking Ball",7,7/24,0.29,18,0,4,4/24,0.17,18,0,0,0/24,0,0,0,2,2/24,0.08,17,0,0,0/24,0,0,0,1,1/24,0.04,4,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Wuyang,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0,0,0/7,0,0,0
Zarya,6,6/24,0.25,22,0,2,2/24,0.08,12,0,0,0/24,0,0,0,2,2/24,0.08,10,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,1,1/24,0.04,20,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Zenyatta,9,9/24,0.38,24,0,5,5/24,0.21,24,0,0,0/24,0,0,0,2,2/24,0.08,7,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,21,0,0,0/24,0,0,0,0,0/24,0,0,0

"Hero legendary","Total legendary","Seasons legendary","Average legendary","Last Season legendary","Recolors legendary","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
Ana,15,10/24,0.63,23,6,4,4/24,0.17,13,0,0,0/24,0,0,0,8,6/24,0.33,22,5,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,10,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,2,2/24,0.08,23,1
Anran,5,3/4,1.25,23,0,0,0/4,0,0,0,0,0/4,0,0,0,4,3/4,1,23,0,1,1/4,0.25,23,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Ashe,21,15/24,0.88,23,4,4,4/24,0.17,22,0,0,0/24,0,0,0,14,10/24,0.58,23,4,3,3/24,0.13,19,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Baptiste,5,5/24,0.21,19,1,1,1/24,0.04,10,0,0,0/24,0,0,0,3,3/24,0.13,19,1,0,0/24,0,0,0,1,1/24,0.04,8,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Bastion,9,9/24,0.38,20,2,1,1/24,0.04,9,0,0,0/24,0,0,0,7,7/24,0.29,20,2,1,1/24,0.04,11,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Brigitte,16,13/24,0.67,24,5,2,2/24,0.08,24,0,0,0/24,0,0,0,9,8/24,0.38,22,3,3,3/24,0.13,22,1,1,1/24,0.04,6,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,18,1
Cassidy,17,14/24,0.71,24,2,5,5/24,0.21,24,0,0,0/24,0,0,0,3,3/24,0.13,23,1,2,2/24,0.08,17,0,3,3/24,0.13,20,1,3,3/24,0.13,23,0,0,0/24,0,0,0,1,1/24,0.04,19,0,0,0/24,0,0,0,0,0/24,0,0,0
D.Mon,1,1/1,1,24,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,1,1/1,1,24,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0
D.Va,24,16/24,1,24,9,2,2/24,0.08,24,0,0,0/24,0,0,0,9,8/24,0.38,22,4,8,6/24,0.33,21,3,0,0/24,0,0,0,1,1/24,0.04,12,0,0,0/24,0,0,0,1,1/24,0.04,18,0,0,0/24,0,0,0,2,2/24,0.08,22,2
Domina,2,2/4,0.5,22,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,22,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Doomfist,13,13/24,0.54,24,2,3,3/24,0.13,12,0,0,0/24,0,0,0,6,6/24,0.25,24,2,2,2/24,0.08,17,0,0,0/24,0,0,0,1,1/24,0.04,15,0,0,0/24,0,0,0,1,1/24,0.04,21,0,0,0/24,0,0,0,0,0/24,0,0,0
Echo,12,11/24,0.5,22,5,2,2/24,0.08,22,0,0,0/24,0,0,0,7,7/24,0.29,21,3,0,0/24,0,0,0,1,1/24,0.04,14,1,1,1/24,0.04,12,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,14,1
Emre,5,4/4,1.25,24,0,0,0/4,0,0,0,0,0/4,0,0,0,3,2/4,0.75,24,0,0,0/4,0,0,0,0,0/4,0,0,0,1,1/4,0.25,21,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,1,1/4,0.25,23,0
Freja,14,9/24,0.58,24,1,2,2/24,0.08,23,0,0,0/24,0,0,0,5,4/24,0.21,24,0,2,2/24,0.08,22,0,0,0/24,0,0,0,1,1/24,0.04,16,0,0,0/24,0,0,0,1,1/24,0.04,18,0,0,0/24,0,0,0,2,2/24,0.08,23,1
Genji,27,18/24,1.13,23,9,7,7/24,0.29,23,0,0,0/24,0,0,0,10,9/24,0.42,23,4,6,6/24,0.25,23,1,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,2,1/24,0.08,1,2,2,2/24,0.08,16,2
Hanzo,21,15/24,0.88,24,7,2,2/24,0.08,18,0,0,0/24,0,0,0,15,13/24,0.63,24,6,2,2/24,0.08,23,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,2,2/24,0.08,23,1
Hazard,4,4/11,0.36,21,0,1,1/11,0.09,14,0,0,0/11,0,0,0,3,3/11,0.27,21,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0
Illari,14,13/19,0.74,24,3,3,3/19,0.16,12,0,0,0/19,0,0,0,5,4/19,0.26,21,2,2,2/19,0.11,15,0,1,1/19,0.05,8,1,2,2/19,0.11,22,0,0,0/19,0,0,0,1,1/19,0.05,24,0,0,0/19,0,0,0,0,0/19,0,0,0
"Jetpack Cat",2,2/4,0.5,24,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,24,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
"Junker Queen",13,12/24,0.54,24,1,3,3/24,0.13,13,0,0,0/24,0,0,0,9,8/24,0.38,23,1,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,24,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Junkrat,9,7/24,0.38,23,2,4,4/24,0.17,23,0,0,0/24,0,0,0,2,2/24,0.08,23,1,1,1/24,0.04,7,0,1,1/24,0.04,20,1,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,23,0,0,0/24,0,0,0,0,0/24,0,0,0
Juno,20,12/13,1.54,24,1,0,0/13,0,0,0,0,0/13,0,0,0,12,9/13,0.92,24,0,5,5/13,0.38,23,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,1,1/13,0.08,16,0,0,0/13,0,0,0,2,2/13,0.15,19,1
Kiriko,35,21/24,1.46,24,5,3,3/24,0.13,18,0,0,0/24,0,0,0,20,17/24,0.83,24,4,8,7/24,0.33,23,1,0,0/24,0,0,0,4,4/24,0.17,19,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Lifeweaver,22,13/21,1.05,23,4,4,4/21,0.19,22,0,0,0/21,0,0,0,11,9/21,0.52,23,2,3,3/21,0.14,22,0,1,1/21,0.05,18,1,1,1/21,0.05,9,0,1,1/21,0.05,15,1,0,0/21,0,0,0,0,0/21,0,0,0,1,1/21,0.05,21,0
Lúcio,14,13/24,0.58,24,6,4,4/24,0.17,23,0,0,0/24,0,0,0,7,7/24,0.29,24,4,1,1/24,0.04,21,0,1,1/24,0.04,18,1,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,20,1
Mauga,11,9/17,0.65,22,0,4,4/17,0.24,21,0,0,0/17,0,0,0,4,4/17,0.24,22,0,2,2/17,0.12,22,0,0,0/17,0,0,0,1,1/17,0.06,8,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0,0,0/17,0,0,0
Mei,13,12/24,0.54,24,5,2,2/24,0.08,14,0,0,0/24,0,0,0,7,7/24,0.29,24,4,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,2,2/24,0.08,23,0,0,0/24,0,0,0,0,0/24,0,0,0,2,2/24,0.08,23,1
Mercy,40,17/24,1.67,24,15,1,1/24,0.04,1,0,0,0/24,0,0,0,23,14/24,0.96,24,8,5,4/24,0.21,21,0,1,1/24,0.04,15,0,1,1/24,0.04,14,0,1,1/24,0.04,11,1,1,1/24,0.04,17,0,1,1/24,0.04,1,1,6,6/24,0.25,23,5
Mizuki,5,3/4,1.25,24,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,23,0,1,1/4,0.25,23,0,0,0/4,0,0,0,1,1/4,0.25,24,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,1,1/4,0.25,23,0
Moira,15,12/24,0.63,24,2,6,6/24,0.25,24,0,0,0/24,0,0,0,5,5/24,0.21,24,0,1,1/24,0.04,7,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,2,2/24,0.08,6,1,1,1/24,0.04,18,1
Orisa,12,10/24,0.5,24,3,2,2/24,0.08,15,0,0,0/24,0,0,0,7,7/24,0.29,24,2,1,1/24,0.04,14,0,2,2/24,0.08,15,1,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Pharah,15,13/24,0.63,24,3,5,5/24,0.21,24,0,0,0/24,0,0,0,8,7/24,0.33,22,3,1,1/24,0.04,7,0,0,0/24,0,0,0,1,1/24,0.04,14,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Ramattra,13,9/23,0.57,24,2,2,2/23,0.09,7,0,0,0/23,0,0,0,6,5/23,0.26,22,2,3,3/23,0.13,22,0,0,0/23,0,0,0,1,1/23,0.04,19,0,0,0/23,0,0,0,1,1/23,0.04,24,0,0,0/23,0,0,0,0,0/23,0,0,0
Reaper,25,17/24,1.04,24,4,4,4/24,0.17,20,0,0,0/24,0,0,0,12,10/24,0.5,24,1,3,3/24,0.13,17,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,20,0,3,2/24,0.13,6,2,1,1/24,0.04,18,1
Reinhardt,21,19/24,0.88,23,4,4,4/24,0.17,19,0,0,0/24,0,0,0,8,8/24,0.33,23,2,4,4/24,0.17,13,0,1,1/24,0.04,8,1,1,1/24,0.04,10,0,0,0/24,0,0,0,1,1/24,0.04,21,0,0,0/24,0,0,0,2,2/24,0.08,21,1
Roadhog,11,10/24,0.46,22,0,1,1/24,0.04,9,0,0,0/24,0,0,0,8,8/24,0.33,22,0,0,0/24,0,0,0,0,0/24,0,0,0,2,2/24,0.08,18,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Shion,1,1/2,0.5,23,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,1,1/2,0.5,23,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0,0,0/2,0,0,0
Sierra,1,1/3,0.33,22,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,1,1/3,0.33,22,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0,0,0/3,0,0,0
Sigma,12,12/24,0.5,21,2,3,3/24,0.13,14,0,0,0/24,0,0,0,6,6/24,0.25,21,2,0,0/24,0,0,0,0,0/24,0,0,0,3,3/24,0.13,17,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Sojourn,13,12/24,0.54,21,2,4,4/24,0.17,14,0,0,0/24,0,0,0,6,6/24,0.25,20,2,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,21,0,1,1/24,0.04,6,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,7,0
"Soldier 76",19,16/24,0.79,22,6,3,3/24,0.13,20,0,0,0/24,0,0,0,7,7/24,0.29,21,3,3,2/24,0.13,16,0,0,0/24,0,0,0,2,2/24,0.08,4,0,0,0/24,0,0,0,0,0/24,0,0,0,3,2/24,0.13,9,2,1,1/24,0.04,22,1
Sombra,17,14/24,0.71,23,6,3,3/24,0.13,23,0,0,0/24,0,0,0,10,8/24,0.42,22,4,4,3/24,0.17,15,2,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Symmetra,11,10/24,0.46,21,4,2,2/24,0.08,10,0,0,0/24,0,0,0,7,7/24,0.29,21,2,1,1/24,0.04,19,1,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,16,1,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Torbjörn,8,7/24,0.33,14,3,2,2/24,0.08,13,0,0,0/24,0,0,0,5,5/24,0.21,14,2,1,1/24,0.04,12,1,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Tracer,18,14/24,0.75,23,7,2,2/24,0.08,21,0,0,0/24,0,0,0,7,7/24,0.29,23,2,3,3/24,0.13,15,1,1,1/24,0.04,22,0,1,1/24,0.04,20,0,1,1/24,0.04,15,1,0,0/24,0,0,0,0,0/24,0,0,0,3,3/24,0.13,22,3
Vendetta,8,5/5,1.6,24,0,1,1/5,0.2,21,0,0,0/5,0,0,0,5,4/5,1,24,0,1,1/5,0.2,21,0,0,0/5,0,0,0,1,1/5,0.2,20,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0,0,0/5,0,0,0
Venture,7,7/15,0.47,23,0,2,2/15,0.13,20,0,0,0/15,0,0,0,4,4/15,0.27,23,0,1,1/15,0.07,14,0,0,0/15,0,0,0,0,0/15,0,0,0,0,0/15,0,0,0,0,0/15,0,0,0,0,0/15,0,0,0,0,0/15,0,0,0
Widowmaker,25,18/24,1.04,23,7,2,2/24,0.08,10,0,0,0/24,0,0,0,13,12/24,0.54,23,6,4,4/24,0.17,21,0,1,1/24,0.04,14,0,3,3/24,0.13,17,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,20,1
Winston,6,6/24,0.25,16,0,3,3/24,0.13,9,0,0,0/24,0,0,0,1,1/24,0.04,15,0,1,1/24,0.04,16,0,0,0/24,0,0,0,1,1/24,0.04,13,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
"Wrecking Ball",4,4/24,0.17,12,1,1,1/24,0.04,7,0,0,0/24,0,0,0,2,2/24,0.08,12,1,1,1/24,0.04,9,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Wuyang,13,6/7,1.86,23,0,2,2/7,0.29,22,0,0,0/7,0,0,0,4,3/7,0.57,23,0,3,3/7,0.43,21,0,0,0/7,0,0,0,1,1/7,0.14,18,0,0,0/7,0,0,0,1,1/7,0.14,22,0,0,0/7,0,0,0,1,1/7,0.14,21,0
Zarya,8,6/24,0.33,22,4,2,2/24,0.08,15,0,0,0/24,0,0,0,3,3/24,0.13,22,2,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,3,2/24,0.13,6,2,0,0/24,0,0,0
Zenyatta,13,10/24,0.54,23,2,1,1/24,0.04,5,0,0,0/24,0,0,0,5,5/24,0.21,23,0,3,3/24,0.13,16,0,0,0/24,0,0,0,1,1/24,0.04,11,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,1,0,2,2/24,0.08,18,2

"Hero ultra","Total ultra","Seasons ultra","Average ultra","Last Season ultra","Recolors ultra","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
Ana,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
